"time","lat","lon","elevation","accuracy","bearing","speed","satellites","provider","hdop","vdop","pdop","geoidheight","ageofdgpsdata","dgpsid","activity","battery","annotation","timestamp_ms","time_offset","distance","starttimestamp_ms","profile_name"
2022-01-29 23:03:46,46.0215672,13.28599233,123.155212402344,14.031488,NA,0,13,"gps",0.8,0.8,1.1,45,NA,NA,NA,47,NA,1643497426000,2022-01-29 23:03:46,31250.6815057853,1643473958892,"DailyGPSLogger"
2022-01-29 23:03:47,46.02156529,13.28599088,123.319396972656,13.2340975,NA,0,13,"gps",0.8,0.8,1.1,45,NA,NA,NA,47,NA,1643497427000,2022-01-29 23:03:47,31250.9215908252,1643473958892,"DailyGPSLogger"
2022-01-29 23:03:48,46.0215645,13.28599304,122.764343261719,12.645721,NA,0,12,"gps",0.8,0.8,1.1,45,NA,NA,NA,47,NA,1643497428000,2022-01-29 23:03:48,31251.1100893988,1643473958892,"DailyGPSLogger"
2022-01-29 23:03:49,46.02156447,13.28599289,122.688354492188,11.683239,NA,0,12,"gps",1.1,0.8,1.4,45,NA,NA,NA,47,NA,1643497429000,2022-01-29 23:03:49,31251.1221420863,1643473958892,"DailyGPSLogger"
2022-01-29 23:03:50,46.02156472,13.28599108,122.56298828125,12.086483,NA,0,8,"gps",NA,NA,NA,45,NA,NA,NA,47,NA,1643497430000,2022-01-29 23:03:50,31251.2646344089,1643473958892,"DailyGPSLogger"
2022-01-29 23:03:51,46.02156458,13.28599095,122.572692871094,12.832455,NA,0,9,"gps",1.1,0.9,1.4,45,NA,NA,NA,47,NA,1643497431000,2022-01-29 23:03:51,31251.2831572082,1643473958892,"DailyGPSLogger"
2022-01-29 23:03:52,46.02156586,13.28599142,123.370178222656,12.9774685,NA,0,8,"gps",1,0.8,1.3,45,NA,NA,NA,47,NA,1643497432000,2022-01-29 23:03:52,31251.4300402877,1643473958892,"DailyGPSLogger"
2022-01-29 23:03:53,46.0215651,13.28599289,123.368225097656,12.7314205,NA,0,9,"gps",1,0.8,1.3,45,NA,NA,NA,47,NA,1643497433000,2022-01-29 23:03:53,31251.5715477926,1643473958892,"DailyGPSLogger"
2022-01-29 23:03:54,46.02156545,13.28599288,123.3212890625,13.45368,NA,0,10,"gps",0.9,0.9,1.2,45,NA,NA,NA,47,NA,1643497434000,2022-01-29 23:03:54,31251.6104736755,1643473958892,"DailyGPSLogger"
2022-01-29 23:03:55,46.02156266,13.28600098,123.593200683594,13.486465,NA,0,9,"gps",0.8,0.8,1.1,45,NA,NA,NA,47,NA,1643497435000,2022-01-29 23:03:55,31252.3086108621,1643473958892,"DailyGPSLogger"
