"time","lat","lon","elevation","accuracy","bearing","speed","satellites","provider","hdop","vdop","pdop","geoidheight","ageofdgpsdata","dgpsid","activity","battery","annotation","timestamp_ms","time_offset","distance","starttimestamp_ms","profile_name","battery_charging"
2022-03-19 18:13:28,46.0859755,13.35924385,156.313598632812,3.7900925,282.7,20.35,21,"gps",0.5,0.6,0.8,45,NA,NA,NA,91,NA,1647713608000,2022-03-19 18:13:28,18256.4914997473,1647712731229,"DailyGPSLogger",FALSE
2022-03-19 18:13:29,46.08601346,13.35898651,156.143798828125,3.7900925,282.9,20.13,21,"gps",0.5,0.6,0.8,45,NA,NA,NA,91,NA,1647713609000,2022-03-19 18:13:29,18276.7820545438,1647712731229,"DailyGPSLogger",FALSE
2022-03-19 18:13:30,46.08605307,13.35872906,156.189697265625,3.7900925,281.8,20.2,20,"gps",0.5,0.6,0.8,45,NA,NA,NA,91,NA,1647713610000,2022-03-19 18:13:30,18297.1198366923,1647712731229,"DailyGPSLogger",FALSE
2022-03-19 18:13:31,46.08609279,13.35847296,156.544067382812,3.7900925,282.6,20.63,19,"gps",0.5,0.6,0.8,45,NA,NA,NA,91,NA,1647713611000,2022-03-19 18:13:31,18317.3586389751,1647712731229,"DailyGPSLogger",FALSE
2022-03-19 18:13:32,46.08613356,13.35821487,156.302795410156,3.7900925,282.6,20.54,20,"gps",0.5,0.6,0.8,45,NA,NA,NA,91,NA,1647713612000,2022-03-19 18:13:32,18337.7728389241,1647712731229,"DailyGPSLogger",FALSE
2022-03-19 18:13:33,46.08617306,13.35795517,156.418090820312,3.7900925,282.3,20.73,21,"gps",0.5,0.6,0.8,45,NA,NA,NA,91,NA,1647713613000,2022-03-19 18:13:33,18358.277396544,1647712731229,"DailyGPSLogger",FALSE
2022-03-19 18:13:34,46.08621651,13.35769352,156.194702148438,3.7900925,283.6,20.88,21,"gps",0.5,0.6,0.8,45,NA,NA,NA,91,NA,1647713614000,2022-03-19 18:13:34,18379.0267150397,1647712731229,"DailyGPSLogger",FALSE
2022-03-19 18:13:35,46.08626244,13.35743491,155.674377441406,3.7900925,285.5,20.9,21,"gps",0.5,0.6,0.8,45,NA,NA,NA,91,NA,1647713615000,2022-03-19 18:13:35,18399.6147521472,1647712731229,"DailyGPSLogger",FALSE
2022-03-19 18:13:36,46.08631679,13.35717606,155.366760253906,3.7900925,287.3,20.79,21,"gps",0.5,0.6,0.8,45,NA,NA,NA,91,NA,1647713616000,2022-03-19 18:13:36,18420.4724871194,1647712731229,"DailyGPSLogger",FALSE
2022-03-19 18:13:37,46.08636495,13.35692624,154.794067382812,3.7900925,285.3,20.39,21,"gps",0.5,0.6,0.8,45,NA,NA,NA,91,NA,1647713617000,2022-03-19 18:13:37,18440.4694585861,1647712731229,"DailyGPSLogger",FALSE
2022-03-19 18:13:38,46.08643904,13.35668107,155.4326171875,3.7900925,292.8,20.94,20,"gps",0.5,0.6,0.8,45,NA,NA,NA,91,NA,1647713618000,2022-03-19 18:13:38,18461.0942543985,1647712731229,"DailyGPSLogger",FALSE
2022-03-19 18:13:39,46.08650463,13.35643311,156.275756835938,3.7900925,291.6,20.65,20,"gps",0.5,0.6,0.8,45,NA,NA,NA,91,NA,1647713619000,2022-03-19 18:13:39,18481.5609226913,1647712731229,"DailyGPSLogger",FALSE
2022-03-19 18:13:40,46.08657449,13.35620228,156.677124023438,4.0606904,292.3,19.86,20,"gps",0.5,0.6,0.8,45,NA,NA,NA,91,NA,1647713620000,2022-03-19 18:13:40,18500.9839340314,1647713619615,"DailyGPSLogger",FALSE
2022-03-19 18:13:41,46.08665097,13.35592618,155.368286132812,3.7900925,291.2,21.29,20,"gps",0.5,0.6,0.8,45,NA,NA,NA,91,NA,1647713621000,2022-03-19 18:13:41,18523.9125919873,1647713619615,"DailyGPSLogger",FALSE
2022-03-19 18:13:42,46.08671795,13.35566814,154.76123046875,3.7900925,291.2,21.33,20,"gps",0.5,0.6,0.8,45,NA,NA,NA,91,NA,1647713622000,2022-03-19 18:13:42,18545.1610332662,1647713619615,"DailyGPSLogger",FALSE
2022-03-19 18:13:43,46.08677959,13.35540822,154.367553710938,3.7900925,288.3,21.4,20,"gps",0.5,0.6,0.8,45,NA,NA,NA,91,NA,1647713623000,2022-03-19 18:13:43,18566.3458107796,1647713619615,"DailyGPSLogger",FALSE
2022-03-19 18:13:44,46.08682789,13.35513556,153.852905273438,3.7900925,284.9,21.49,19,"gps",0.5,0.6,0.8,45,NA,NA,NA,91,NA,1647713624000,2022-03-19 18:13:44,18588.048712369,1647713619615,"DailyGPSLogger",FALSE
