"time","lat","lon","elevation","accuracy","bearing","speed","satellites","provider","hdop","vdop","pdop","geoidheight","ageofdgpsdata","dgpsid","activity","battery","annotation"
2021-02-16 13:58:53,46.05447185,13.41172024,158.460205078125,3.7900925,204.2,15.22,19,"gps",NA,NA,NA,NA,NA,NA,NA,86,NA
2021-02-16 13:58:54,46.05434864,13.41164188,158.031311035156,3.7900925,203.4,15.25,19,"gps",NA,NA,NA,NA,NA,NA,NA,86,NA
2021-02-16 13:58:55,46.05421949,13.41156282,158.057556152344,3.7900925,203.2,15.28,19,"gps",NA,NA,NA,NA,NA,NA,NA,86,NA
2021-02-16 13:58:56,46.05409102,13.41148296,158.158752441406,3.7900925,203.3,15.44,20,"gps",NA,NA,NA,NA,NA,NA,NA,86,NA
2021-02-16 13:58:57,46.05396603,13.41139917,157.88427734375,3.7900925,203.8,15.66,20,"gps",NA,NA,NA,NA,NA,NA,NA,86,NA
2021-02-16 13:58:58,46.05383702,13.4113213,157.964660644531,3.7900925,204.1,15.34,20,"gps",NA,NA,NA,NA,NA,NA,NA,85,NA
2021-02-16 13:58:59,46.05371689,13.41124555,157.73193359375,3.7900925,204,14.56,19,"gps",NA,NA,NA,NA,NA,NA,NA,85,NA
2021-02-16 13:59:00,46.05360375,13.41117819,158.100891113281,3.7900925,203.9,13.29,18,"gps",NA,NA,NA,NA,NA,NA,NA,85,NA
2021-02-16 13:59:01,46.053506,13.41112004,157.864501953125,3.7900925,202.9,11.62,18,"gps",NA,NA,NA,NA,NA,NA,NA,85,NA
2021-02-16 13:59:02,46.05341689,13.41106859,157.902465820312,3.7900925,202.5,10.62,18,"gps",NA,NA,NA,NA,NA,NA,NA,85,NA
2021-02-16 13:59:03,46.05332655,13.4110149,157.964660644531,3.7900925,201.5,11.15,18,"gps",NA,NA,NA,NA,NA,NA,NA,85,NA
2021-02-16 13:59:04,46.05322735,13.41094841,157.603515625,3.7900925,202.6,12.29,17,"gps",NA,NA,NA,NA,NA,NA,NA,85,NA
2021-02-16 13:59:05,46.05311503,13.41087567,157.68505859375,3.7900925,203.4,13.44,17,"gps",NA,NA,NA,NA,NA,NA,NA,85,NA
2021-02-16 13:59:06,46.05299802,13.41079022,157.445129394531,3.7900925,203.1,14.51,18,"gps",NA,NA,NA,NA,NA,NA,NA,85,NA
2021-02-16 13:59:07,46.05287491,13.41071419,157.394836425781,3.7900925,203.3,14.83,19,"gps",NA,NA,NA,NA,NA,NA,NA,85,NA
2021-02-16 13:59:08,46.05274052,13.41062229,157.270629882812,3.7900925,204.8,16.19,19,"gps",NA,NA,NA,NA,NA,NA,NA,85,NA
2021-02-16 13:59:09,46.05261124,13.41053228,158.059814453125,3.7900925,203.4,15.96,19,"gps",NA,NA,NA,NA,NA,NA,NA,85,NA
2021-02-16 13:59:10,46.05246753,13.41044522,157.818481445312,3.7900925,203,17.11,18,"gps",NA,NA,NA,NA,NA,NA,NA,85,NA
2021-02-16 13:59:11,46.05231797,13.41035709,157.691772460938,3.7900925,203.5,17.88,18,"gps",NA,NA,NA,NA,NA,NA,NA,85,NA
2021-02-16 13:59:12,46.05216429,13.41026463,157.803527832031,3.7900925,204,18.57,19,"gps",NA,NA,NA,NA,NA,NA,NA,85,NA
2021-02-16 13:59:13,46.05200527,13.41016454,158.015808105469,3.7900925,204.3,19.22,19,"gps",NA,NA,NA,NA,NA,NA,NA,85,NA
2021-02-16 13:59:14,46.05184704,13.41006116,157.698913574219,3.7900925,204.3,19.34,19,"gps",NA,NA,NA,NA,NA,NA,NA,85,NA
2021-02-16 13:59:15,46.05169014,13.40996544,157.742980957031,3.7900925,204.2,19.14,19,"gps",NA,NA,NA,NA,NA,NA,NA,85,NA
2021-02-16 13:59:16,46.05152657,13.40986281,157.759338378906,3.7900925,204.7,19.57,19,"gps",NA,NA,NA,NA,NA,NA,NA,85,NA
2021-02-16 13:59:17,46.05135717,13.40976282,157.933715820312,3.7900925,202.2,20.03,19,"gps",NA,NA,NA,NA,NA,NA,NA,85,NA
2021-02-16 13:59:18,46.05118417,13.40966417,157.758117675781,3.7900925,200.4,20.39,19,"gps",NA,NA,NA,NA,NA,NA,NA,85,NA
