"time","lat","lon","elevation","accuracy","bearing","speed","satellites","provider","hdop","vdop","pdop","geoidheight","ageofdgpsdata","dgpsid","activity","battery","annotation","timestamp_ms","time_offset","distance","starttimestamp_ms","profile_name","battery_charging"
2022-05-09 11:27:35,46.08601852,13.35918695,156.239196777344,3.7900925,282.1,17.9,23,"gps",0.5,0.6,0.8,45,NA,NA,NA,77,NA,1652095655000,2022-05-09 11:27:35,12989.7473494759,1652094757339,"DailyGPSLogger",FALSE
2022-05-09 11:27:36,46.08605309,13.35895676,156.129150390625,3.7900925,282.3,18.2,22,"gps",0.5,NA,NA,45,NA,NA,NA,77,NA,1652095656000,2022-05-09 11:27:36,13007.9115340585,1652094757339,"DailyGPSLogger",FALSE
2022-05-09 11:27:37,46.08608553,13.35871886,156.046875,3.7900925,282.5,18.47,22,"gps",0.5,0.6,0.8,45,NA,NA,NA,77,NA,1652095657000,2022-05-09 11:27:37,13026.6101448471,1652094757339,"DailyGPSLogger",FALSE
2022-05-09 11:27:38,46.08611934,13.35848394,155.71826171875,3.7900925,282.6,18.64,22,"gps",0.6,0.6,0.8,45,NA,NA,NA,77,NA,1652095658000,2022-05-09 11:27:38,13045.1136401503,1652094757339,"DailyGPSLogger",FALSE
2022-05-09 11:27:39,46.08615406,13.35824191,155.441833496094,3.7900925,282.6,19.1,22,"gps",0.6,0.6,0.8,45,NA,NA,NA,77,NA,1652095659000,2022-05-09 11:27:39,13064.1745886135,1652094757339,"DailyGPSLogger",FALSE
2022-05-09 11:27:40,46.08618981,13.35799187,155.5234375,3.7900925,282,19.73,22,"gps",0.5,0.6,0.8,45,NA,NA,NA,77,NA,1652095660000,2022-05-09 11:27:40,13083.8636712443,1652094757339,"DailyGPSLogger",FALSE
2022-05-09 11:27:41,46.08622601,13.35774022,155.379943847656,3.7900925,282.5,20.02,23,"gps",0.5,0.6,0.8,45,NA,NA,NA,77,NA,1652095661000,2022-05-09 11:27:41,13103.6844680555,1652094757339,"DailyGPSLogger",FALSE
2022-05-09 11:27:42,46.08627046,13.35748699,155.195129394531,3.7900925,284.7,20.25,23,"gps",0.5,0.6,0.8,45,NA,NA,NA,77,NA,1652095662000,2022-05-09 11:27:42,13123.8298101554,1652094757339,"DailyGPSLogger",FALSE
2022-05-09 11:27:43,46.08632645,13.35723333,154.982299804688,3.7900925,288.1,20.54,23,"gps",0.5,0.6,0.8,45,NA,NA,NA,77,NA,1652095663000,2022-05-09 11:27:43,13144.3593427173,1652094757339,"DailyGPSLogger",FALSE
2022-05-09 11:27:44,46.08638862,13.35698049,154.717712402344,3.7900925,290.4,20.85,23,"gps",0.5,0.6,0.8,45,NA,NA,NA,77,NA,1652095664000,2022-05-09 11:27:44,13165.047971797,1652094757339,"DailyGPSLogger",FALSE
2022-05-09 11:27:45,46.08645536,13.35672724,154.149536132812,3.7900925,291.6,21.11,23,"gps",0.5,0.6,0.8,45,NA,NA,NA,77,NA,1652095665000,2022-05-09 11:27:45,13185.9414318879,1652094757339,"DailyGPSLogger",FALSE
2022-05-09 11:27:46,46.08652668,13.3564715,153.60986328125,3.7900925,291.4,21.33,23,"gps",0.5,0.6,0.8,45,NA,NA,NA,77,NA,1652095666000,2022-05-09 11:27:46,13207.1991821514,1652094757339,"DailyGPSLogger",FALSE
2022-05-09 11:27:47,46.08659806,13.35621032,153.194030761719,3.7900925,291.7,21.62,23,"gps",0.5,0.6,0.8,45,NA,NA,NA,77,NA,1652095667000,2022-05-09 11:27:47,13228.8491728688,1652094757339,"DailyGPSLogger",FALSE
2022-05-09 11:27:48,46.08667183,13.35595088,153.078918457031,3.7900925,291.7,21.66,23,"gps",0.6,0.6,0.8,45,NA,NA,NA,77,NA,1652095668000,2022-05-09 11:27:48,13250.473751552,1652094757339,"DailyGPSLogger",FALSE
2022-05-09 11:27:49,46.08674377,13.35569146,153.025329589844,3.7900925,290.4,21.61,22,"gps",NA,NA,NA,45,NA,NA,NA,77,NA,1652095669000,2022-05-09 11:27:49,13272.0205074607,1652094757339,"DailyGPSLogger",FALSE
2022-05-09 11:27:50,46.08680706,13.35542808,152.851623535156,3.7900925,288.1,21.42,20,"gps",0.5,0.6,0.8,45,NA,NA,NA,77,NA,1652095670000,2022-05-09 11:27:50,13293.5173005385,1652094757339,"DailyGPSLogger",FALSE
2022-05-09 11:27:51,46.08685501,13.35515853,152.905822753906,3.7900925,283.4,21.29,22,"gps",0.5,0.6,0.8,45,NA,NA,NA,77,NA,1652095671000,2022-05-09 11:27:51,13314.9781852053,1652094757339,"DailyGPSLogger",FALSE
