"time","lat","lon","elevation","accuracy","bearing","speed","satellites","provider","hdop","vdop","pdop","geoidheight","ageofdgpsdata","dgpsid","activity","battery","annotation"
2020-12-20 06:36:08,46.08595788,13.35937467,152,10,281.8,22.290081,10,"gps",0.7,0.8,1,45,NA,NA,NA,89,NA
2020-12-20 06:36:09,46.08600621,13.35910627,151,9,281.9,22.120998,10,"gps",0.7,0.8,1,45,NA,NA,"IN_VEHICLE",89,NA
2020-12-20 06:36:10,46.08604378,13.35883787,150,10,281.9,22.300035,10,"gps",0.7,0.8,1,45,NA,NA,NA,89,NA
2020-12-20 06:36:11,46.08608596,13.358555,151,10,281.7,22.220001,10,"gps",0.7,0.8,1,45,NA,NA,NA,89,NA
2020-12-20 06:36:12,46.08611689,13.35827866,151,10,281,21.760279,10,"gps",0.7,0.8,1,45,NA,NA,"ON_BICYCLE",89,NA
2020-12-20 06:36:13,46.08615774,13.3579978,151,10,280.4,22.160578,10,"gps",0.7,0.8,1,45,NA,NA,NA,89,NA
2020-12-20 06:36:14,46.08619915,13.35772119,152,10,281.2,21.890001,10,"gps",0.7,0.8,1,45,NA,NA,NA,89,NA
2020-12-20 06:36:15,46.08625738,13.35742164,152,10,283.7,22.920427,10,"gps",0.7,0.8,1,45,NA,NA,NA,89,NA
2020-12-20 06:36:16,46.08631705,13.35714418,153,10,285.4,22.540436,10,"gps",0.7,0.8,1,45,NA,NA,NA,89,NA
2020-12-20 06:36:17,46.08638045,13.35688867,153,10,287.3,21.75,10,"gps",0.7,0.8,1.1,45,NA,NA,NA,89,NA
2020-12-20 06:36:18,46.08645651,13.35661628,153,11,289.8,22.09,10,"gps",0.7,0.8,1.1,45,NA,NA,NA,89,NA
2020-12-20 06:36:19,46.08653295,13.35633429,153,11,290.2,23.020002,10,"gps",0.7,0.8,1.1,45,NA,NA,NA,89,NA
2020-12-20 06:36:25,46.08682317,13.35464369,151,11,279.6,22.570318,10,"gps",0.7,0.8,1,45,NA,NA,NA,89,NA
2020-12-20 06:36:27,46.08688033,13.35402153,151,11,271,23.582748,10,"gps",0.7,0.8,1,45,NA,NA,NA,89,NA
2020-12-20 06:36:28,46.0868723,13.35372193,151,10,270.3,22.644083,10,"gps",0.7,0.8,1.1,45,NA,NA,"IN_VEHICLE",89,NA
2020-12-20 06:36:29,46.08687992,13.35341321,147,11,271.3,23.44413,10,"gps",0.7,0.8,1.1,45,NA,NA,NA,89,NA
2020-12-20 06:36:30,46.08689028,13.35311536,145,10,271.1,23.690609,10,"gps",0.7,0.8,1.1,45,NA,NA,NA,89,NA
2020-12-20 06:36:31,46.08689757,13.35282141,142,10,270.5,23.52048,10,"gps",0.7,0.8,1.1,45,NA,NA,NA,89,NA
2020-12-20 06:36:32,46.08690003,13.35251519,143,10,270.5,23.260105,10,"gps",0.7,0.8,1.1,45,NA,NA,NA,89,NA
2020-12-20 06:36:33,46.08689317,13.35220034,143,10,270.2,23.660357,10,"gps",0.7,0.8,1,45,NA,NA,NA,89,NA
2020-12-20 06:36:34,46.08687902,13.35190423,143,10,269.3,23.340105,10,"gps",0.7,0.8,1,45,NA,NA,NA,89,NA
2020-12-20 06:36:35,46.08687285,13.3516025,144,10,268.8,23.551123,10,"gps",0.7,0.8,1,45,NA,NA,NA,89,NA
2020-12-20 06:36:36,46.08687738,13.3513028,144,10,269.7,23.380547,10,"gps",0.7,0.8,1,45,NA,NA,NA,89,NA
2020-12-20 06:36:37,46.08687986,13.35100071,145,10,269.6,23.111048,10,"gps",0.7,0.8,1,45,NA,NA,NA,89,NA
2020-12-20 06:36:38,46.08688043,13.35070147,146,10,269.7,23.100489,10,"gps",0.7,0.8,1,45,NA,NA,NA,89,NA
2020-12-20 06:36:39,46.08688531,13.35039731,146,10,269.2,22.560179,10,"gps",0.7,0.8,1,45,NA,NA,NA,89,NA
2020-12-20 06:36:40,46.08688701,13.3501195,148,10,270,21.980385,10,"gps",0.7,0.8,1.1,45,NA,NA,NA,89,NA
2020-12-20 06:36:41,46.08688613,13.34983777,149,10,269.3,21.830229,10,"gps",0.7,0.8,1.1,45,NA,NA,NA,89,NA
2020-12-20 06:36:42,46.08692766,13.34956797,148,10,270.3,20.770061,10,"gps",0.7,0.8,1,45,NA,NA,NA,89,NA
2020-12-20 06:36:43,46.08693274,13.34931401,147,10,272.4,19.760914,10,"gps",0.7,0.8,1,45,NA,NA,NA,89,NA
2020-12-20 06:36:44,46.08694316,13.34904886,146,10,273.6,20.232857,10,"gps",0.7,0.8,1,45,NA,NA,"IN_VEHICLE",89,NA
2020-12-20 06:36:45,46.08701661,13.34878628,146,10,284.6,20.451784,10,"gps",0.7,0.8,1,45,NA,NA,NA,89,NA
2020-12-20 06:36:46,46.08707774,13.34855313,148,10,289.9,19.780024,10,"gps",0.7,0.8,1,45,NA,NA,NA,89,NA
2020-12-20 06:36:47,46.08715938,13.34830982,150,10,289.7,20.200064,10,"gps",0.7,0.8,1,45,NA,NA,NA,89,NA
2020-12-20 06:36:48,46.08722138,13.34805031,152,10,288.6,20.410088,10,"gps",0.7,0.8,1,45,NA,NA,NA,89,NA
2020-12-20 06:36:49,46.08726506,13.34777737,151,11,286.1,20.94001,10,"gps",0.7,0.8,1,45,NA,NA,NA,89,NA
2020-12-20 06:36:52,46.08730893,13.34697571,149,11,274.6,21.160038,10,"gps",0.7,0.8,1,45,NA,NA,NA,89,NA
2020-12-20 06:36:53,46.08731066,13.34672953,148,10,274.6,21.42,10,"gps",0.7,0.8,1,45,NA,NA,NA,89,NA
2020-12-20 06:36:54,46.08731383,13.34644853,146,10,274.5,21.760517,10,"gps",0.7,0.8,1.1,45,NA,NA,NA,89,NA
2020-12-20 06:36:55,46.08733847,13.34615499,146,10,273.2,22.25,10,"gps",0.7,0.8,1,45,NA,NA,NA,89,NA
2020-12-20 06:36:56,46.0873502,13.34586061,146,10,272.6,22.200003,10,"gps",0.7,0.8,1,45,NA,NA,NA,89,NA
2020-12-20 06:36:57,46.08736131,13.34555188,147,10,271,22.75001,10,"gps",0.7,0.8,1,45,NA,NA,NA,89,NA
2020-12-20 06:36:58,46.08735923,13.34525521,147,10,269.5,23.350216,10,"gps",0.7,0.8,1,45,NA,NA,NA,89,NA
2020-12-20 06:36:59,46.08736718,13.34494928,148,10,270,23.260035,10,"gps",0.7,0.8,1,45,NA,NA,NA,89,NA
2020-12-20 06:37:00,46.08736958,13.34465652,148,10,270,23.050055,10,"gps",0.7,0.8,1,45,NA,NA,"IN_VEHICLE",89,NA
2020-12-20 06:37:01,46.08736392,13.34435654,147,10,269.7,23.310034,10,"gps",0.7,0.8,1,45,NA,NA,NA,89,NA
2020-12-20 06:37:18,46.08657258,13.33928833,145,11,256.5,23.180035,10,"gps",0.7,0.8,1,45,NA,NA,"IN_VEHICLE",89,NA
2020-12-20 06:37:19,46.08655364,13.33900318,145,11,257.7,22.920004,10,"gps",0.7,0.8,1,45,NA,NA,NA,89,NA
2020-12-20 06:37:20,46.08649732,13.33872889,145,11,256.3,22.760004,10,"gps",0.7,0.8,1,45,NA,NA,NA,89,NA
