"time","lat","lon","elevation","accuracy","bearing","speed","satellites","provider","hdop","vdop","pdop","geoidheight","ageofdgpsdata","dgpsid","activity","battery","annotation"
2021-09-30 05:52:02,46.10083498,13.35934096,161.796630859375,3.7900925,309.2,19.67,27,"gps",0.4,0.6,0.7,45,NA,NA,NA,95,NA
2021-09-30 05:52:03,46.10093958,13.35914075,161.847717285156,3.7900925,306.5,19.07,27,"gps",0.4,0.6,0.7,45,NA,NA,NA,95,NA
2021-09-30 05:52:04,46.10103645,13.35894706,162.0322265625,3.7900925,304.8,18.35,27,"gps",0.4,0.6,0.7,45,NA,NA,NA,95,NA
2021-09-30 05:52:05,46.10112693,13.35875889,162.415283203125,3.7900925,304.4,17.28,27,"gps",0.4,0.6,0.7,45,NA,NA,NA,95,NA
2021-09-30 05:52:06,46.10120659,13.35859164,162.466613769531,3.7900925,304.3,15.92,27,"gps",0.4,0.6,0.7,45,NA,NA,NA,95,NA
2021-09-30 05:52:07,46.10128096,13.35844527,162.582763671875,3.7900925,305.8,14.25,27,"gps",0.4,0.6,0.7,45,NA,NA,NA,95,NA
2021-09-30 05:52:09,46.10141388,13.35821892,163.197326660156,3.7900925,314,10.71,26,"gps",0.4,0.6,0.7,45,NA,NA,NA,95,NA
2021-09-30 05:52:10,46.10147574,13.35813545,163.329467773438,3.7900925,318.7,9.34,27,"gps",NA,NA,NA,45,NA,NA,NA,95,NA
2021-09-30 05:52:11,46.10153448,13.35806869,163.132446289062,3.7900925,322.9,8.68,26,"gps",0.4,0.6,0.7,45,NA,NA,NA,95,NA
2021-09-30 05:52:12,46.10160074,13.35800709,162.849548339844,3.7900925,324.3,8.54,26,"gps",0.4,0.6,0.7,45,NA,NA,NA,95,NA
2021-09-30 05:52:13,46.10166774,13.35793942,162.86865234375,3.7900925,325.6,9.03,26,"gps",0.4,0.6,0.7,45,NA,NA,NA,95,NA
2021-09-30 05:52:14,46.1017427,13.35786859,162.94189453125,3.7900925,326.7,9.76,26,"gps",0.4,0.6,0.7,45,NA,NA,NA,95,NA
2021-09-30 05:52:15,46.10182497,13.35779742,162.837158203125,3.7900925,327.5,10.5,26,"gps",0.4,0.6,0.7,45,NA,NA,NA,95,NA
2021-09-30 05:52:16,46.10191066,13.35771884,163.05078125,3.7900925,326.3,11.18,26,"gps",0.4,0.6,0.7,45,NA,NA,NA,95,NA
2021-09-30 05:52:17,46.10199659,13.35762487,163.091186523438,3.7900925,321.5,11.79,26,"gps",0.4,0.6,0.7,45,NA,NA,NA,95,NA
2021-09-30 05:52:18,46.10207624,13.35751753,162.701293945312,3.7900925,316.8,12.45,26,"gps",0.4,0.6,0.7,45,NA,NA,NA,95,NA
2021-09-30 05:52:19,46.10215909,13.35739362,162.838806152344,3.7900925,311.7,13.11,26,"gps",0.4,0.6,0.7,45,NA,NA,NA,95,NA
2021-09-30 05:52:20,46.10223217,13.35725327,162.742431640625,3.7900925,307.7,13.75,26,"gps",0.4,0.6,0.7,45,NA,NA,NA,95,NA
