"time","lat","lon","elevation","accuracy","bearing","speed","satellites","provider","hdop","vdop","pdop","geoidheight","ageofdgpsdata","dgpsid","activity","battery","annotation","timestamp_ms","time_offset","distance","starttimestamp_ms","profile_name","battery_charging"
2022-02-16 07:09:04,46.12868593,13.35937802,180.791442871094,3.7900925,277,14.27,16,"gps",0.6,0.6,0.9,45,NA,NA,NA,90,NA,1644995344000,2022-02-16 07:09:04,14796.8199945797,1644993912213,"DailyGPSLogger",FALSE
2022-02-16 07:09:05,46.12870875,13.35919272,180.822204589844,3.7900925,279.6,14.33,16,"gps",0.6,0.6,0.9,45,NA,NA,NA,90,NA,1644995345000,2022-02-16 07:09:05,14811.323397881,1644993912213,"DailyGPSLogger",FALSE
2022-02-16 07:09:06,46.12873576,13.35900737,181.1484375,3.7900925,283.9,14.45,16,"gps",0.6,0.6,0.9,45,NA,NA,NA,90,NA,1644995346000,2022-02-16 07:09:06,14825.9192910346,1644993912213,"DailyGPSLogger",FALSE
2022-02-16 07:09:07,46.1287743,13.35882846,181.19921875,3.7900925,288.4,14.61,16,"gps",0.6,0.6,0.9,45,NA,NA,NA,90,NA,1644995347000,2022-02-16 07:09:07,14840.3572146937,1644993912213,"DailyGPSLogger",FALSE
2022-02-16 07:09:08,46.12882175,13.35864866,181.59521484375,3.7900925,292.4,14.68,16,"gps",0.6,0.6,0.9,45,NA,NA,NA,90,NA,1644995348000,2022-02-16 07:09:08,14855.1836247944,1644993912213,"DailyGPSLogger",FALSE
2022-02-16 07:09:09,46.12887952,13.35847613,181.518676757812,3.7900925,295.5,14.8,16,"gps",0.6,0.6,0.9,45,NA,NA,NA,90,NA,1644995349000,2022-02-16 07:09:09,14869.9496909112,1644993912213,"DailyGPSLogger",FALSE
2022-02-16 07:09:10,46.12893866,13.35830302,181.88916015625,3.7900925,296,14.86,16,"gps",0.6,0.6,0.9,45,NA,NA,NA,90,NA,1644995350000,2022-02-16 07:09:10,14884.8227270228,1644993912213,"DailyGPSLogger",FALSE
2022-02-16 07:09:11,46.12899701,13.35813128,181.736877441406,3.7900925,296,14.91,17,"gps",0.6,0.6,0.9,45,NA,NA,NA,90,NA,1644995351000,2022-02-16 07:09:11,14899.5622504153,1644993912213,"DailyGPSLogger",FALSE
2022-02-16 07:09:12,46.12905622,13.35795539,181.883239746094,3.7900925,296,14.95,17,"gps",0.6,0.6,0.9,45,NA,NA,NA,90,NA,1644995352000,2022-02-16 07:09:12,14914.6311124278,1644993912213,"DailyGPSLogger",FALSE
2022-02-16 07:09:13,46.12911377,13.357782,182.100219726562,3.7900925,296,15.05,17,"gps",0.6,NA,NA,45,NA,NA,NA,90,NA,1644995353000,2022-02-16 07:09:13,14929.4462461601,1644993912213,"DailyGPSLogger",FALSE
2022-02-16 07:09:14,46.12917338,13.35760643,182.343322753906,3.7900925,296,15.3,17,"gps",0.6,0.6,0.9,45,NA,NA,NA,90,NA,1644995354000,2022-02-16 07:09:14,14944.5124195558,1644993912213,"DailyGPSLogger",FALSE
2022-02-16 07:09:15,46.12923748,13.35742237,182.465087890625,3.7900925,295.8,15.56,16,"gps",0.6,0.6,0.9,45,NA,NA,NA,90,NA,1644995355000,2022-02-16 07:09:15,14960.3865784102,1644993912213,"DailyGPSLogger",FALSE
2022-02-16 07:09:16,46.12930038,13.35723334,182.651245117188,3.7900925,295.6,15.82,16,"gps",0.6,0.6,0.9,45,NA,NA,NA,90,NA,1644995356000,2022-02-16 07:09:16,14976.5456528809,1644993912213,"DailyGPSLogger",FALSE
2022-02-16 07:09:17,46.12936372,13.357045,182.815795898438,3.7900925,295.6,16.13,16,"gps",0.6,0.6,0.9,45,NA,NA,NA,90,NA,1644995357000,2022-02-16 07:09:17,14992.6780948368,1644993912213,"DailyGPSLogger",FALSE
2022-02-16 07:09:18,46.12942989,13.35685175,182.899291992188,3.7900925,295.8,16.39,16,"gps",0.6,0.6,0.9,45,NA,NA,NA,90,NA,1644995358000,2022-02-16 07:09:18,15009.2887324725,1644993912213,"DailyGPSLogger",FALSE
2022-02-16 07:09:19,46.12949332,13.35665749,183.188781738281,3.7900925,295.9,16.69,16,"gps",0.6,0.6,0.9,45,NA,NA,NA,90,NA,1644995359000,2022-02-16 07:09:19,15025.8370368651,1644993912213,"DailyGPSLogger",FALSE
