"time","lat","lon","elevation","accuracy","bearing","speed","satellites","provider","hdop","vdop","pdop","geoidheight","ageofdgpsdata","dgpsid","activity","battery","annotation"
2021-02-01 15:23:56,46.08598606,13.35932231,160.402709960938,9.935046,281.3,19.48,19,"gps",NA,NA,NA,NA,NA,NA,NA,92,NA
2021-02-01 15:23:57,46.08601865,13.35908552,160.809448242188,9.935046,281,19.36,19,"gps",NA,NA,NA,NA,NA,NA,NA,92,NA
2021-02-01 15:23:58,46.08605233,13.35883637,161.020385742188,9.935046,281.4,19.18,20,"gps",NA,NA,NA,NA,NA,NA,NA,92,NA
2021-02-01 15:23:59,46.08608714,13.35860066,160.900756835938,9.935046,281.8,18.94,20,"gps",NA,NA,NA,NA,NA,NA,NA,92,NA
2021-02-01 15:24:00,46.08612611,13.35835073,160.795349121094,9.935046,282,18.8,19,"gps",NA,NA,NA,NA,NA,NA,NA,92,NA
2021-02-01 15:24:01,46.08616269,13.35810835,161.324279785156,9.935046,281.7,18.72,19,"gps",NA,NA,NA,NA,NA,NA,NA,92,NA
2021-02-01 15:24:02,46.08620125,13.3578712,161.169677734375,9.935046,281.8,18.68,19,"gps",NA,NA,NA,NA,NA,NA,NA,92,NA
2021-02-01 15:24:03,46.08623448,13.35763571,161.034301757812,9.935046,282.8,18.69,19,"gps",NA,NA,NA,NA,NA,NA,NA,92,NA
2021-02-01 15:24:04,46.08627721,13.35739956,160.922668457031,9.935046,284.4,18.73,19,"gps",NA,NA,NA,NA,NA,NA,NA,92,NA
2021-02-01 15:24:05,46.08632508,13.35716534,160.945007324219,9.935046,285.3,18.83,19,"gps",NA,NA,NA,NA,NA,NA,NA,92,NA
2021-02-01 15:24:06,46.08638029,13.35693465,161.456604003906,9.935046,287,19.06,19,"gps",NA,NA,NA,NA,NA,NA,NA,92,NA
2021-02-01 15:24:07,46.08644181,13.35670873,160.964782714844,9.935046,288.1,19.31,18,"gps",NA,NA,NA,NA,NA,NA,NA,92,NA
2021-02-01 15:24:08,46.08650492,13.35647348,160.759765625,9.935046,289.8,19.58,18,"gps",NA,NA,NA,NA,NA,NA,NA,92,NA
2021-02-01 15:24:09,46.08657075,13.35623664,160.524719238281,9.935046,290.8,19.83,18,"gps",NA,NA,NA,NA,NA,NA,NA,92,NA
2021-02-01 15:24:10,46.08664325,13.35598893,160.604064941406,9.935046,291.3,20.09,18,"gps",NA,NA,NA,NA,NA,NA,NA,92,NA
