"time","lat","lon","elevation","accuracy","bearing","speed","satellites","provider","hdop","vdop","pdop","geoidheight","ageofdgpsdata","dgpsid","activity","battery","annotation","timestamp_ms","time_offset","distance","starttimestamp_ms","profile_name"
2022-01-12 09:52:09,46.0546404,13.41182184,160.537963867188,3.7900925,202.2,22.44,19,"gps",0.5,0.6,0.8,45,NA,NA,NA,97,NA,1641981129000,2022-01-12 09:52:09,7992.50691722134,1641980611464,"DailyGPSLogger"
2022-01-12 09:52:10,46.05446579,13.41170294,160.35888671875,3.7900925,201.8,21.52,20,"gps",0.5,0.6,0.8,45,NA,NA,NA,97,NA,1641981130000,2022-01-12 09:52:10,8013.98139392859,1641980611464,"DailyGPSLogger"
2022-01-12 09:52:11,46.05429217,13.41159447,159.822509765625,3.7900925,199.5,21.14,20,"gps",0.5,0.6,0.8,45,NA,NA,NA,97,NA,1641981131000,2022-01-12 09:52:11,8035.02348950759,1641980611464,"DailyGPSLogger"
2022-01-12 09:52:12,46.05412157,13.41148436,159.390258789062,3.7900925,197.9,20.89,20,"gps",0.5,0.6,0.8,45,NA,NA,NA,97,NA,1641981132000,2022-01-12 09:52:12,8055.80933961294,1641980611464,"DailyGPSLogger"
2022-01-12 09:52:13,46.05394947,13.4113826,158.963745117188,3.7900925,199.5,20.79,20,"gps",0.5,0.6,0.8,45,NA,NA,NA,97,NA,1641981133000,2022-01-12 09:52:13,8076.49443703125,1641980611464,"DailyGPSLogger"
2022-01-12 09:52:14,46.05377637,13.41127599,158.758666992188,3.7900925,201,20.76,20,"gps",0.5,0.6,0.8,45,NA,NA,NA,97,NA,1641981134000,2022-01-12 09:52:14,8097.42670099612,1641980611464,"DailyGPSLogger"
2022-01-12 09:52:15,46.05360444,13.41117109,158.458068847656,3.7900925,201.6,20.79,20,"gps",0.5,0.6,0.8,45,NA,NA,NA,97,NA,1641981135000,2022-01-12 09:52:15,8118.18760310294,1641980611464,"DailyGPSLogger"
2022-01-12 09:52:16,46.05342999,13.41106234,158.139953613281,3.7900925,202.2,21.15,20,"gps",0.5,0.6,0.8,45,NA,NA,NA,97,NA,1641981136000,2022-01-12 09:52:16,8139.32302794359,1641980611464,"DailyGPSLogger"
2022-01-12 09:52:17,46.05325021,13.41094915,157.886047363281,3.7900925,200.1,21.65,20,"gps",0.5,0.6,0.8,45,NA,NA,NA,97,NA,1641981137000,2022-01-12 09:52:17,8161.1385971735,1641980611464,"DailyGPSLogger"
2022-01-12 09:52:18,46.05306486,13.41083451,157.343017578125,3.7900925,200.3,22.2,20,"gps",0.5,0.6,0.8,45,NA,NA,NA,97,NA,1641981138000,2022-01-12 09:52:18,8183.56699472516,1641980611464,"DailyGPSLogger"
2022-01-12 09:52:19,46.05287831,13.41071466,157.312805175781,3.7900925,202.3,22.76,20,"gps",0.5,0.6,0.8,45,NA,NA,NA,97,NA,1641981139000,2022-01-12 09:52:19,8206.27881197985,1641980611464,"DailyGPSLogger"
2022-01-12 09:52:20,46.05268618,13.41059313,157.209777832031,3.7900925,199.4,23.22,20,"gps",0.5,0.6,0.8,45,NA,NA,NA,97,NA,1641981140000,2022-01-12 09:52:20,8229.61051391369,1641980611464,"DailyGPSLogger"
2022-01-12 09:52:21,46.05248955,13.41047176,157.056884765625,3.7900925,200.8,23.76,20,"gps",0.5,0.6,0.8,45,NA,NA,NA,97,NA,1641981141000,2022-01-12 09:52:21,8253.39638936557,1641980611464,"DailyGPSLogger"
2022-01-12 09:52:22,46.05229068,13.41034723,156.942077636719,3.7900925,201.4,24.26,20,"gps",0.5,0.6,0.8,45,NA,NA,NA,97,NA,1641981142000,2022-01-12 09:52:22,8277.50758318705,1641980611464,"DailyGPSLogger"
2022-01-12 09:52:23,46.05208784,13.41021414,156.848449707031,3.7900925,202,24.75,20,"gps",0.5,0.6,0.8,45,NA,NA,NA,97,NA,1641981143000,2022-01-12 09:52:23,8302.29066723883,1641980611464,"DailyGPSLogger"
2022-01-12 09:52:24,46.05188171,13.41008032,156.686096191406,3.7900925,202.4,25.22,20,"gps",0.5,0.6,0.8,45,NA,NA,NA,97,NA,1641981144000,2022-01-12 09:52:24,8327.43025140975,1641980611464,"DailyGPSLogger"
2022-01-12 09:52:25,46.05167416,13.40994897,156.693908691406,3.7900925,202.1,25.18,20,"gps",NA,NA,NA,45,NA,NA,NA,97,NA,1641981145000,2022-01-12 09:52:25,8352.63664156131,1641980611464,"DailyGPSLogger"
2022-01-12 09:52:26,46.0514659,13.40982167,156.445739746094,3.7900925,201.1,24.9,20,"gps",0.5,0.6,0.8,45,NA,NA,NA,97,NA,1641981146000,2022-01-12 09:52:26,8377.79165664047,1641980611464,"DailyGPSLogger"
2022-01-12 09:52:27,46.05125983,13.40970544,156.570251464844,3.7900925,199.8,24.72,20,"gps",0.5,0.6,0.8,45,NA,NA,NA,97,NA,1641981147000,2022-01-12 09:52:27,8402.39859714948,1641980611464,"DailyGPSLogger"
2022-01-12 09:52:28,46.05105495,13.40959405,156.862060546875,3.7900925,198,24.6,20,"gps",0.5,0.6,0.8,45,NA,NA,NA,97,NA,1641981148000,2022-01-12 09:52:28,8426.74802585852,1641980611464,"DailyGPSLogger"
